# y_plus, uu_plus, vv_plus, minus_uv_plus
1.25604887e+02, 1.85205747e+00, 1.85205747e+00, 8.50090625e-01
1.27146051e+02, 1.84998746e+00, 1.84998746e+00, 8.49115409e-01
1.28687216e+02, 1.84790341e+00, 1.84790341e+00, 8.47848763e-01
1.30228380e+02, 1.84582638e+00, 1.84582638e+00, 8.47100579e-01
1.31769544e+02, 1.84373532e+00, 1.84373532e+00, 8.46082413e-01
1.33310709e+02, 1.84164425e+00, 1.84164425e+00, 8.45208271e-01
1.34851873e+02, 1.83955319e+00, 1.83955319e+00, 8.44493011e-01
1.36393037e+02, 1.83745511e+00, 1.83745511e+00, 8.43528318e-01
1.37934201e+02, 1.83535703e+00, 1.83535703e+00, 8.42316940e-01
1.39475366e+02, 1.83325193e+00, 1.83325193e+00, 8.41290066e-01
1.41016530e+02, 1.83114684e+00, 1.83114684e+00, 8.40896948e-01
1.42557694e+02, 1.82903472e+00, 1.82903472e+00, 8.39847500e-01
1.44098858e+02, 1.82692962e+00, 1.82692962e+00, 8.38572833e-01
1.45640023e+02, 1.82481751e+00, 1.82481751e+00, 8.37522918e-01
1.47181187e+02, 1.82270540e+00, 1.82270540e+00, 8.36710787e-01
1.48722351e+02, 1.82059328e+00, 1.82059328e+00, 8.36150327e-01
1.50263515e+02, 1.81848117e+00, 1.81848117e+00, 8.34934785e-01
1.51804680e+02, 1.81636204e+00, 1.81636204e+00, 8.33981961e-01
1.53345844e+02, 1.81424992e+00, 1.81424992e+00, 8.33305435e-01
1.54887008e+02, 1.81213079e+00, 1.81213079e+00, 8.31972967e-01
1.56428172e+02, 1.81001166e+00, 1.81001166e+00, 8.31403460e-01
1.57969337e+02, 1.80789955e+00, 1.80789955e+00, 8.30660531e-01
1.59510501e+02, 1.80578041e+00, 1.80578041e+00, 8.29262531e-01
1.61051665e+02, 1.80366128e+00, 1.80366128e+00, 8.28661252e-01
1.62592829e+02, 1.80154215e+00, 1.80154215e+00, 8.27899020e-01
1.64133994e+02, 1.79942302e+00, 1.79942302e+00, 8.26480625e-01
1.65675158e+02, 1.79731091e+00, 1.79731091e+00, 8.25394395e-01
1.67216322e+02, 1.79519178e+00, 1.79519178e+00, 8.25155312e-01
1.68757487e+02, 1.79307264e+00, 1.79307264e+00, 8.24267368e-01
1.70298651e+02, 1.79095351e+00, 1.79095351e+00, 8.22719460e-01
1.71839815e+02, 1.78884140e+00, 1.78884140e+00, 8.22045623e-01
1.73380979e+02, 1.78672227e+00, 1.78672227e+00, 8.21750318e-01
1.74922144e+02, 1.78461015e+00, 1.78461015e+00, 8.20802015e-01
1.76463308e+02, 1.78249102e+00, 1.78249102e+00, 8.19190724e-01
1.78004472e+02, 1.78037891e+00, 1.78037891e+00, 8.18493869e-01
1.79545636e+02, 1.77825978e+00, 1.77825978e+00, 8.18203103e-01
1.81086801e+02, 1.77614766e+00, 1.77614766e+00, 8.16712483e-01
1.82627965e+02, 1.77403555e+00, 1.77403555e+00, 8.15629153e-01
1.84169129e+02, 1.77191642e+00, 1.77191642e+00, 8.14972579e-01
1.85710293e+02, 1.76980430e+00, 1.76980430e+00, 8.14191530e-01
1.87251458e+02, 1.76769219e+00, 1.76769219e+00, 8.13837310e-01
1.88792622e+02, 1.76558008e+00, 1.76558008e+00, 8.12829316e-01
1.90333786e+02, 1.76346094e+00, 1.76346094e+00, 8.11142607e-01
1.91874950e+02, 1.76134883e+00, 1.76134883e+00, 8.10457145e-01
1.93416115e+02, 1.75923672e+00, 1.75923672e+00, 8.10230158e-01
1.94957279e+02, 1.75712460e+00, 1.75712460e+00, 8.08770931e-01
1.96498443e+02, 1.75501249e+00, 1.75501249e+00, 8.07764305e-01
1.98039607e+02, 1.75290037e+00, 1.75290037e+00, 8.07228515e-01
1.99580772e+02, 1.75078826e+00, 1.75078826e+00, 8.06597113e-01
2.01121936e+02, 1.74867615e+00, 1.74867615e+00, 8.05863497e-01
2.02663100e+02, 1.74656403e+00, 1.74656403e+00, 8.04452424e-01
2.04204265e+02, 1.74445192e+00, 1.74445192e+00, 8.03528165e-01
2.05745429e+02, 1.74233980e+00, 1.74233980e+00, 8.03093736e-01
2.07286593e+02, 1.74022769e+00, 1.74022769e+00, 8.01980919e-01
2.08827757e+02, 1.73811557e+00, 1.73811557e+00, 8.01372756e-01
2.10368922e+02, 1.73599644e+00, 1.73599644e+00, 8.00673201e-01
2.11910086e+02, 1.73388433e+00, 1.73388433e+00, 7.99288131e-01
2.13451250e+02, 1.73177222e+00, 1.73177222e+00, 7.98418936e-01
2.14992414e+02, 1.72965308e+00, 1.72965308e+00, 7.97460486e-01
2.16533579e+02, 1.72754097e+00, 1.72754097e+00, 7.97031151e-01
2.18074743e+02, 1.72542184e+00, 1.72542184e+00, 7.96526623e-01
2.19615907e+02, 1.72330972e+00, 1.72330972e+00, 7.95324128e-01
2.21157071e+02, 1.72119059e+00, 1.72119059e+00, 7.94035177e-01
2.22698236e+02, 1.71907146e+00, 1.71907146e+00, 7.93296130e-01
2.24239400e+02, 1.71695233e+00, 1.71695233e+00, 7.92477552e-01
2.25780564e+02, 1.71483320e+00, 1.71483320e+00, 7.91580107e-01
2.27321728e+02, 1.71270705e+00, 1.71270705e+00, 7.91241529e-01
2.28862893e+02, 1.71058792e+00, 1.71058792e+00, 7.90204132e-01
2.30404057e+02, 1.70846177e+00, 1.70846177e+00, 7.89089677e-01
2.31945221e+02, 1.70633562e+00, 1.70633562e+00, 7.88543820e-01
2.33486385e+02, 1.70420948e+00, 1.70420948e+00, 7.87286277e-01
2.35027550e+02, 1.70208333e+00, 1.70208333e+00, 7.86603689e-01
2.36568714e+02, 1.69995016e+00, 1.69995016e+00, 7.85858032e-01
2.38109878e+02, 1.69782402e+00, 1.69782402e+00, 7.84394616e-01
2.39651042e+02, 1.69569085e+00, 1.69569085e+00, 7.84160398e-01
2.41192207e+02, 1.69355768e+00, 1.69355768e+00, 7.83222166e-01
2.42733371e+02, 1.69141750e+00, 1.69141750e+00, 7.82216551e-01
2.44274535e+02, 1.68928434e+00, 1.68928434e+00, 7.81802757e-01
2.45815700e+02, 1.68714416e+00, 1.68714416e+00, 7.80672678e-01
