# y_plus_values_1, u_plus_values_1
161.921957, 137.365063
162.562589, 137.811340
163.204289, 138.256682
163.844921, 138.701555
164.486621, 139.145491
165.128321, 139.588959
165.768954, 140.031491
166.410654, 140.473086
167.051286, 140.914681
167.692986, 141.354402
168.334686, 141.794124
168.975319, 142.232909
169.617019, 142.670758
170.257651, 143.108138
170.899351, 143.544114
171.541051, 143.979621
172.181683, 144.414660
172.823383, 144.848762
173.464016, 145.281928
174.105716, 145.714157
174.747416, 146.146387
175.388048, 146.577211
176.029748, 147.007099
176.670381, 147.436518
177.312081, 147.865469
177.953781, 148.293484
178.594413, 148.720562
179.236113, 149.146703
179.876745, 149.572377
180.518445, 149.997113
181.160145, 150.420913
181.800778, 150.844245
182.442478, 151.266640
183.083110, 151.688567
183.724810, 152.109557
184.366510, 152.529611
185.007143, 152.949196
185.648843, 153.367845
186.289475, 153.786026
186.931175, 154.202802
187.572875, 154.619109
188.213507, 155.034948
188.855207, 155.449383
189.495840, 155.863817
190.137540, 156.276846
190.779240, 156.689407
191.419872, 157.101032
192.061572, 157.511720
192.702205, 157.922408
193.343905, 158.331223
193.985605, 158.740038
194.626237, 159.147916
195.267937, 159.554858
195.908569, 159.961331
196.550269, 160.366868
197.191970, 160.771468
197.832602, 161.175600
198.474302, 161.578795
199.114934, 161.981522
199.756634, 162.382845
200.398334, 162.784167
201.038967, 163.184084
201.680667, 163.583065
202.321299, 163.982046
202.962999, 164.379622
203.604699, 164.777198
204.245331, 165.173369
204.887032, 165.569072
205.527664, 165.963838
206.169364, 166.357667
206.811064, 166.750561
207.451696, 167.143454
208.093396, 167.534942
208.734029, 167.926430
209.375729, 168.316045
210.017429, 168.705660
210.658061, 169.093870
211.299761, 169.481612
211.940393, 169.869354
212.582094, 170.255223
213.223794, 170.640623
213.864426, 171.025556
214.506126, 171.409083
215.147826, 171.792610
215.788458, 172.174733
216.430158, 172.556855
217.070791, 172.937573
217.712491, 173.317822
218.354191, 173.697135
218.994823, 174.075511
219.636523, 174.453419
220.277156, 174.830390
220.918856, 175.206893
221.560556, 175.582460
222.201188, 175.957089
222.842888, 176.331251
223.483520, 176.704476
224.125220, 177.076764
224.766920, 177.448585
225.407553, 177.819000
226.049253, 178.189415
226.689885, 178.558894
227.331585, 178.927436
227.973285, 179.295510
228.613918, 179.662179
229.255618, 180.028379
229.896250, 180.393643
230.537950, 180.758439
231.179650, 181.122299
231.820282, 181.485690
232.461982, 181.848144
233.102615, 182.209662
233.744315, 182.570711
234.386015, 182.930824
235.026647, 183.290001
235.668347, 183.648709
236.308980, 184.006480
236.950680, 184.363315
237.592380, 184.719682
238.233012, 185.075112
238.874712, 185.429605
239.515344, 185.783631
240.157044, 186.136719
240.798744, 186.489340
241.439377, 186.841023
242.081077, 187.191771
242.721709, 187.541581
243.363409, 187.890924
244.005109, 188.239798
244.645742, 188.587267
245.287442, 188.934268
245.928074, 189.280800
246.569774, 189.625928
247.211474, 189.971056
247.852106, 190.314310
248.493806, 190.657565
249.134439, 191.000351
249.776139, 191.341733
250.417839, 191.683114
251.058471, 192.022623
251.700171, 192.362131
252.340804, 192.700703
252.982504, 193.038338
253.624204, 193.375505
254.264836, 193.711735
254.906536, 194.047029
255.547168, 194.381854
256.188868, 194.715275
256.830568, 195.048695
257.471201, 195.380711
258.112901, 195.712727
258.753533, 196.043338
259.395233, 196.373480
260.036933, 196.703154
260.677566, 197.031424
261.319266, 197.359225
261.959898, 197.686090
262.601598, 198.012018
263.243298, 198.337946
263.883930, 198.662469
264.525630, 198.986523
265.166263, 199.309642
265.807963, 199.631823
266.449663, 199.953068
267.090295, 200.273845
267.731995, 200.594154
268.372628, 200.913058
269.014328, 201.231493
269.656028, 201.549460
270.296660, 201.866491
270.938360, 202.182584
271.578992, 202.498210
272.220692, 202.812431
272.862393, 203.126652
273.503025, 203.439468
274.144725, 203.751815
274.785357, 204.063695
275.427057, 204.374169
276.068757, 204.684175
276.709390, 204.993245
277.351090, 205.301846
277.991722, 205.609979
278.633422, 205.916708
279.275122, 206.223436
279.915754, 206.528291
280.557455, 206.833146
281.198087, 207.136596
281.839787, 207.440046
282.481487, 207.742560
283.122119, 208.043669
283.763819, 208.344777
284.404452, 208.644481
285.046152, 208.943717
285.687852, 209.242016
286.328484, 209.539847
286.970184, 209.836741
287.610816, 210.133167
288.252517, 210.428656
288.894217, 210.723209
289.534849, 211.016825
290.176549, 211.309973
290.817181, 211.602184
291.458881, 211.893927
292.100581, 212.184733
292.741214, 212.474603
293.382914, 212.764005
294.023546, 213.052470
294.665246, 213.339998
295.306946, 213.627058
295.947579, 213.913182
296.589279, 214.198369
297.229911, 214.483088
297.871611, 214.766870
298.513311, 215.050184
299.153943, 215.332093
299.795643, 215.614002
300.436276, 215.894974
301.077976, 216.174541
301.719676, 216.454109
302.360308, 216.732272
303.002008, 217.009966
303.642641, 217.286724
304.284341, 217.562545
304.926041, 217.838366
305.566673, 218.112783
306.208373, 218.386262
306.849005, 218.659742
307.490705, 218.931817
308.132405, 219.203424
308.773038, 219.474094
309.414738, 219.744296
310.055370, 220.013561
310.697070, 220.281890
311.338770, 220.549750
311.979403, 220.816205
312.621103, 221.082193
313.261735, 221.347712
313.903435, 221.612294
314.545135, 221.875940
315.185767, 222.139117
315.827467, 222.401358
316.468100, 222.663131
317.109800, 222.923498
317.751500, 223.183866
318.392132, 223.442829
319.033832, 223.701324
319.674465, 223.958882
320.316165, 224.215503
320.957865, 224.471656
321.598497, 224.727341
322.240197, 224.981621
322.880829, 225.235433
323.522529, 225.488308
324.164229, 225.741183
324.804862, 225.992185
325.446562, 226.242719
326.087194, 226.492784
326.728894, 226.741913
327.370594, 226.990574
328.011227, 227.237830
328.652927, 227.485085
329.293559, 227.731404
329.935259, 227.976319
330.576959, 228.220765
331.217591, 228.464742
331.859291, 228.707783
332.499924, 228.950356
333.141624, 229.191524
333.783324, 229.432224
334.423956, 229.671987
335.065656, 229.910814
335.706289, 230.149640
336.347989, 230.387062
336.989689, 230.624015
337.630321, 230.860032
338.272021, 231.095112
338.912653, 231.329724
339.554353, 231.563400
340.196053, 231.796607
340.836686, 232.028877
341.478386, 232.260211
342.119018, 232.491077
342.760718, 232.720538
343.402418, 232.949998
344.043051, 233.178054
344.684751, 233.406110
345.325383, 233.632761
345.967083, 233.858944
346.608783, 234.084190
347.249415, 234.308968
347.891115, 234.532341
348.531748, 234.755714
349.173448, 234.977682
349.815148, 235.199182
350.455780, 235.419746
351.097480, 235.639372
351.738113, 235.858999
352.379813, 236.077221
353.021513, 236.294975
353.662145, 236.511323
354.303845, 236.727204
354.944477, 236.942616
355.586177, 237.157092
356.227878, 237.371099
356.868510, 237.584170
357.510210, 237.796304
358.150842, 238.007501
358.792542, 238.218231
359.434242, 238.428492
360.074875, 238.637348
360.716575, 238.845736
361.357207, 239.053655
361.998907, 239.260170
362.640607, 239.466216
363.281239, 239.671326
363.922940, 239.875500
364.563572, 240.079673
365.205272, 240.282441
365.846972, 240.484741
366.487604, 240.686105
367.129304, 240.886532
367.769937, 241.086491
368.411637, 241.285513
369.053337, 241.484067
369.693969, 241.681684
370.335669, 241.878364
370.976301, 242.074577
371.618002, 242.269853
372.259702, 242.464192
372.900334, 242.657595
373.542034, 242.850529
374.182666, 243.042995
374.824366, 243.234056
375.466066, 243.424649
376.106699, 243.614774
376.748399, 243.803494
377.389031, 243.992213
378.030731, 244.179528
378.672431, 244.366375
379.313064, 244.552285
379.954764, 244.737727
380.595396, 244.922232
381.237096, 245.105801
381.878796, 245.288901
382.519428, 245.471065
383.161128, 245.652292
383.801761, 245.833051
384.443461, 246.012873
385.085161, 246.192227
385.725793, 246.370176
386.367493, 246.547657
387.008126, 246.724670
387.649826, 246.900278
388.291526, 247.075417
388.932158, 247.250088
389.573858, 247.423823
390.214490, 247.597089
390.856190, 247.768951
391.497890, 247.940344
392.138523, 248.110800
392.780223, 248.280320
393.420855, 248.449840
394.062555, 248.617956
394.704255, 248.785603
395.344888, 248.952313
395.986588, 249.118087
396.627220, 249.283392
397.268920, 249.447761
397.910620, 249.611661
398.551252, 249.774625
399.192952, 249.936653
399.833585, 250.098212
400.475285, 250.258366
401.116985, 250.418052
401.757617, 250.577270
402.399317, 250.735551
403.039950, 250.893364
403.681650, 251.049772
404.323350, 251.206180
404.963982, 251.361183
405.605682, 251.515718
406.246314, 251.669316
406.888014, 251.821978
407.529714, 251.974171
408.170347, 252.125428
408.812047, 252.275748
409.452679, 252.426068
410.094379, 252.574984
410.736079, 252.723431
411.376712, 252.870473
412.018412, 253.017515
412.659044, 253.163621
413.300744, 253.308321
413.942444, 253.453022
414.583076, 253.596786
415.224776, 253.739614
415.865409, 253.881973
416.507109, 254.022928
417.148809, 254.163414
417.789441, 254.302964
418.431141, 254.442045
419.071774, 254.580658
419.713474, 254.717866
420.355174, 254.855075
420.995806, 254.990878
421.637506, 255.125745
422.278138, 255.260611
422.919838, 255.394073
423.561538, 255.526599
424.202171, 255.659124
424.843871, 255.790244
425.484503, 255.920896
426.126203, 256.050612
426.767903, 256.179391
427.408536, 256.307702
428.050236, 256.435076
428.691936, 256.561982
429.332568, 256.687483
429.974268, 256.812984
430.614900, 256.937548
431.256600, 257.061176
431.898301, 257.183867
432.538933, 257.305622
433.180633, 257.426909
433.821265, 257.547727
434.462965, 257.667608
435.104665, 257.786553
435.745298, 257.904562
436.386998, 258.022102
437.027630, 258.138705
437.669330, 258.254372
438.311030, 258.370039
438.951662, 258.484301
439.593363, 258.598095
440.233995, 258.710952
440.875695, 258.822873
441.517395, 258.934325
442.158027, 259.044841
442.799727, 259.154420
443.440360, 259.263531
444.082060, 259.371237
444.723760, 259.478944
445.364392, 259.585713
446.006092, 259.691546
446.646724, 259.796442
447.288425, 259.900870
447.930125, 260.004830
448.570757, 260.107385
449.212457, 260.209472
449.853089, 260.311090
450.494789, 260.411304
451.136489, 260.511049
451.777122, 260.609857
452.418822, 260.708198
453.059454, 260.805602
453.701154, 260.902069
454.342854, 260.998536
454.983487, 261.093130
455.625187, 261.187256
456.265819, 261.280913
456.907519, 261.373634
457.549219, 261.465887
458.189851, 261.557203
458.831551, 261.647582
459.472184, 261.737493
460.113884, 261.826468
460.755584, 261.914974
461.396216, 262.002076
462.037916, 262.088709
462.678549, 262.174405
463.320249, 262.259634
463.961949, 262.343925
464.602581, 262.427749
465.244281, 262.510636
465.884913, 262.592586
466.526613, 262.673600
467.168313, 262.754613
467.808946, 262.833754
468.450646, 262.912895
469.091278, 262.991099
469.732978, 263.068366
470.374678, 263.145165
471.015311, 263.220559
471.657011, 263.295954
472.297643, 263.370411
472.939343, 263.443932
473.581043, 263.516985
474.221675, 263.588633
474.863375, 263.659813
475.504008, 263.730524
476.145708, 263.800299
476.787408, 263.869137
477.428040, 263.937039
478.069740, 264.004472
478.710373, 264.071437
479.352073, 264.136998
479.993773, 264.202090
480.634405, 264.266245
481.276105, 264.329932
481.916737, 264.392682
482.558437, 264.454496
483.200137, 264.515842
483.840770, 264.576251
484.482470, 264.636192
485.123102, 264.695196
485.764802, 264.753264
486.406502, 264.810863
487.047135, 264.867058
487.688835, 264.922784
488.329467, 264.978042
488.971167, 265.032363
489.612867, 265.086216
490.253499, 265.138664
490.895199, 265.190644
491.535832, 265.242156
492.177532, 265.292262
492.819232, 265.342369
493.459864, 265.391071
494.101564, 265.438836
494.742197, 265.486602
