0.0003003 	0.141721 	-2.95313e-18 	0
0.000900901 	0.379058 	-6.20735e-18 	0
0.0015015 	0.593308 	-8.13594e-18 	0
0.0021021 	0.759135 	-8.23777e-18 	0
0.0027027 	0.91082 	-8.23512e-18 	0
0.0033033 	1.03474 	-8.02737e-18 	0
0.0039039 	1.14025 	-7.92102e-18 	0
0.0045045 	1.23666 	-7.86445e-18 	0
0.00510511 	1.31539 	-7.85929e-18 	0
0.00570571 	1.38992 	-7.86456e-18 	0
0.00630631 	1.4564 	-7.88988e-18 	0
0.00690691 	1.51687 	-7.88977e-18 	0
0.00750751 	1.57439 	-7.87602e-18 	0
0.00810811 	1.62527 	-7.74084e-18 	0
0.00870871 	1.67432 	-7.61071e-18 	0
0.00930931 	1.71995 	-7.49003e-18 	0
0.00990991 	1.76268 	-7.4143e-18 	0
0.0105105 	1.80401 	-7.36031e-18 	0
0.0111111 	1.84193 	-7.35375e-18 	0
0.0117117 	1.87882 	-7.34859e-18 	0
0.0123123 	1.91381 	-7.346e-18 	0
0.0129129 	1.94711 	-7.35903e-18 	0
0.0135135 	1.97959 	-7.38107e-18 	0
0.0141141 	2.00999 	-7.48542e-18 	0
0.0147147 	2.03972 	-7.58645e-18 	0
0.0153153 	2.06826 	-7.68151e-18 	0
0.0159159 	2.09566 	-7.74274e-18 	0
0.0165165 	2.12253 	-7.78818e-18 	0
0.0171171 	2.148 	-7.80648e-18 	0
0.0177177 	2.17299 	-7.82506e-18 	0
0.0183183 	2.19717 	-7.84416e-18 	0
0.0189189 	2.22053 	-7.8609e-18 	0
0.0195195 	2.24351 	-7.87652e-18 	0
0.0201201 	2.26548 	-7.88939e-18 	0
0.0207207 	2.28711 	-7.90139e-18 	0
0.0213213 	2.30813 	-7.91189e-18 	0
0.0219219 	2.32854 	-7.92104e-18 	0
0.0225225 	2.34866 	-7.92954e-18 	0
0.0231231 	2.36802 	-7.93653e-18 	0
0.0237237 	2.38711 	-7.94304e-18 	0
0.0243243 	2.40573 	-7.94874e-18 	0
0.0249249 	2.42389 	-7.95372e-18 	0
0.0255255 	2.44182 	-7.95835e-18 	0
0.0261261 	2.45914 	-7.9622e-18 	0
0.0267267 	2.47625 	-7.96579e-18 	0
0.0273273 	2.493 	-7.96898e-18 	0
0.0279279 	2.50937 	-7.9718e-18 	0
0.0285285 	2.52556 	-7.97446e-18 	0
0.0291291 	2.54126 	-7.97673e-18 	0
0.0297297 	2.55679 	-7.97888e-18 	0
0.0303303 	2.57202 	-7.98084e-18 	0
0.0309309 	2.58693 	-7.98263e-18 	0
0.0315315 	2.6017 	-7.98435e-18 	0
0.0321321 	2.61608 	-7.98591e-18 	0
0.0327327 	2.6303 	-7.98742e-18 	0
0.0333333 	2.64428 	-7.98886e-18 	0
0.0339339 	2.658 	-7.99025e-18 	0
0.0345345 	2.67159 	-7.99162e-18 	0
0.0351351 	2.68485 	-7.99294e-18 	0
0.0357357 	2.69799 	-7.99425e-18 	0
0.0363363 	2.71092 	-7.99555e-18 	0
0.0369369 	2.72362 	-7.99685e-18 	0
0.0375375 	2.73622 	-7.99815e-18 	0
0.0381381 	2.74854 	-7.99947e-18 	0
0.0387387 	2.76075 	-8.00079e-18 	0
0.0393393 	2.77279 	-8.00213e-18 	0
0.0399399 	2.78463 	-8.00349e-18 	0
0.0405405 	2.79638 	-8.00486e-18 	0
0.0411411 	2.80788 	-8.00627e-18 	0
0.0417417 	2.8193 	-8.00769e-18 	0
0.0423423 	2.83056 	-8.00912e-18 	0
0.0429429 	2.84166 	-8.01059e-18 	0
0.0435435 	2.85267 	-8.01206e-18 	0
0.0441441 	2.86348 	-8.01357e-18 	0
0.0447447 	2.8742 	-8.01508e-18 	0
0.0453453 	2.88479 	-8.01662e-18 	0
0.0459459 	2.89523 	-8.01816e-18 	0
0.0465465 	2.9056 	-8.01971e-18 	0
0.0471471 	2.91579 	-8.02128e-18 	0
0.0477477 	2.92591 	-8.02285e-18 	0
0.0483483 	2.93591 	-8.02442e-18 	0
0.0489489 	2.94577 	-8.026e-18 	0
0.0495495 	2.95558 	-8.02757e-18 	0
0.0501502 	2.96522 	-8.02914e-18 	0
0.0507508 	2.97479 	-8.0307e-18 	0
0.0513514 	2.98427 	-8.03225e-18 	0
0.051952 	2.99362 	-8.03377e-18 	0
0.0525526 	3.00292 	-8.03529e-18 	0
0.0531532 	3.01208 	-8.03677e-18 	0
0.0537538 	3.02118 	-8.03824e-18 	0
0.0543544 	3.03019 	-8.03968e-18 	0
0.054955 	3.03909 	-8.04108e-18 	0
0.0555556 	3.04794 	-8.04246e-18 	0
0.0561562 	3.05666 	-8.04378e-18 	0
0.0567568 	3.06532 	-8.04507e-18 	0
0.0573574 	3.07391 	-8.04632e-18 	0
0.057958 	3.0824 	-8.04751e-18 	0
0.0585586 	3.09084 	-8.04866e-18 	0
0.0591592 	3.09917 	-8.04974e-18 	0
0.0597598 	3.10745 	-8.05077e-18 	0
0.0603604 	3.11566 	-8.05174e-18 	0
0.060961 	3.12378 	-8.05263e-18 	0
0.0615616 	3.13186 	-8.05349e-18 	0
0.0621622 	3.13983 	-8.05423e-18 	0
0.0627628 	3.14776 	-8.05492e-18 	0
0.0633634 	3.15562 	-8.05553e-18 	0
0.063964 	3.1634 	-8.05604e-18 	0
0.0645646 	3.17114 	-8.05651e-18 	0
0.0651652 	3.17879 	-8.05684e-18 	0
0.0657658 	3.1864 	-8.0571e-18 	0
0.0663664 	3.19395 	-8.05727e-18 	0
0.066967 	3.20143 	-8.05731e-18 	0
0.0675676 	3.20887 	-8.0573e-18 	0
0.0681682 	3.21623 	-8.05713e-18 	0
0.0687688 	3.22354 	-8.05688e-18 	0
0.0693694 	3.2308 	-8.05653e-18 	0
0.06997 	3.23799 	-8.05602e-18 	0
0.0705706 	3.24515 	-8.05544e-18 	0
0.0711712 	3.25223 	-8.05468e-18 	0
0.0717718 	3.25928 	-8.05383e-18 	0
0.0723724 	3.26628 	-8.05286e-18 	0
0.072973 	3.27321 	-8.05171e-18 	0
0.0735736 	3.28012 	-8.05048e-18 	0
0.0741742 	3.28695 	-8.04905e-18 	0
0.0747748 	3.29375 	-8.0475e-18 	0
0.0753754 	3.30051 	-8.04581e-18 	0
0.075976 	3.3072 	-8.04392e-18 	0
0.0765766 	3.31387 	-8.04195e-18 	0
0.0771772 	3.32047 	-8.03973e-18 	0
0.0777778 	3.32704 	-8.03739e-18 	0
0.0783784 	3.33358 	-8.03489e-18 	0
0.078979 	3.34005 	-8.03217e-18 	0
0.0795796 	3.3465 	-8.02934e-18 	0
0.0801802 	3.35289 	-8.02625e-18 	0
0.0807808 	3.35925 	-8.02302e-18 	0
0.0813814 	3.36557 	-8.01961e-18 	0
0.081982 	3.37184 	-8.01595e-18 	0
0.0825826 	3.37809 	-8.01218e-18 	0
0.0831832 	3.38428 	-8.00812e-18 	0
0.0837838 	3.39044 	-8.0039e-18 	0
0.0843844 	3.39657 	-7.99949e-18 	0
0.084985 	3.40265 	-7.9948e-18 	0
0.0855856 	3.40871 	-7.98999e-18 	0
